Area,Depot Names,Address,Latitude,Longitude,Brown Salt Capacity,Depot Max Vehicle Capacity,Garaging Space,No. of routes,Operational?,Comments
12,Birdwell,"Wood View, Sheffield Road, Birdwell, S70 5TT",53.500024,-1.476083,3500,,4,3,Y,
12,Broughton,"Ermine Street, Broughton, Brigg, DN20 0AQ",53.550979,-0.55794,3350,,4,2,Y,
12,Malton,"Eden House Drive, Old Malton, Malton YO17 6AE",54.15298,-0.777537,3500,,4,2,Y,
12,Newport,"Green Park Newport, Green Park Business Park Green Park Road, Newport HU15 2FW",53.769496,-0.682784,3500,,4,2,Y,
12,Shillinghill,"Knottingley Road, Shillinghil, Pontfract, WF8 2TH",53.700152,-1.278117,3500,,4,2,Y,
12,Sprotbrough,"Melton Road, Sprotbrough, Doncaster, DN5 7PY",53.518023,-1.176766,4000,,4,2,Y,
12,Tingley,Great North House,53.735639,-1.573707,4200,,6,4,Y,
12,West Cowick,"Finnleys Lane, West Cowick, Goole, DN14 9ED",53.678234,-1.022829,3800,,6,3,Y,
13,Brough,"Brough Depot, Grand Prix Services, Brough, Kirby Stephen, Cumbria, CA17 4AY",54.528429,-2.324493,1000,,2,1,N,
13,Garstang,"Garstang Motorway Depot, Stubbins Lane, Cloughton on Brock, Preston, Lancashire,",53.880641,-2.746271,8000,,6,4,Y,
13,Hardendale,"Hardendale Motorway Depot, M6 Junction 39, Shap, Penrith, Cumbria, CA10 3LQ",54.509012,-2.648681,3000,,4,1,Y,
13,Lillyhall,"Lillyhall Depot, Pitwood Road, Lillyhall East Ind Est, Lillyhall, Workington Cumbria, CA14 4JP",54.608031,-3.523491,2000,,2,1,Y,
13,Lowhurst,"Low Hurst Motorway Depot, Wreay, Carlisle, Cumbria, CA4 0RH",54.84213,-2.887099,2500,,6,2,Y,
13,Millness,"Millness Motorway Depot, Millness, Milnthorpe, Cumbria, LA7 7NR",54.243438,-2.713895,2000,,6,2,Y,
13,Penrith,"Agricultural Hall, Skirsgill, Penrith, CA11 0DN",54.654247,-2.765349,3000,,4,3,Y,
13,Tebay,"Tebay Motorway Depot, Old Tebay, Tebay, Penrith, Cumbria, CA10 3SS",54.437941,-2.593204,2500,,6,3,Y,
13,Wesham,"Wesham Depot, Fleetwood Road, Corner Row, Kirkham, PR4 3HE",53.805998,-2.887873,0,,,,N,
14,Alnwick,"Lionheart Enterprise Park, Alnwick",55.3963,-1.68585,7200,,6,2,Y,
14,Bradbury,"Bradbury Motorway Compound, Gypsy Lane, Ferryhill, DL17 0LG",54.654144,-1.514716,3500,,6,2,Y,
14,Carrville,"Carrville Motorway Maintenance Depot, Meadow Lane, Carrville, Durham, DH1 1TZ",54.794696,-1.530484,4500,,6,3,Y,
14,Kneeton,Great North House,54.468175,-1.668983,4500,,6,3,Y,
