Level,Depot,Vehicle,Unique_Edges,Unique_Distance_km,Total_Unique_Distance_km,Avg_Time_per_Vehicle_h,Avg_Distance_per_Vehicle_km
Depot,52,,599,,195.61203183647655,0.40752506632599284,32.60200530607943
Vehicle,53,1,207,121.55023801527526,,,
Vehicle,53,2,270,70.9740974034593,,,
Vehicle,53,3,272,89.82318281581632,,,
Vehicle,53,4,310,122.28842419829007,,,
Vehicle,53,5,338,138.61563346123012,,,
Vehicle,53,6,378,188.4437708771749,,,
Depot,53,,1240,,477.7380051070879,0.9952875106397665,79.62300085118132
Vehicle,54,1,298,124.6099156304798,,,
Vehicle,54,2,318,136.96942252790737,,,
Vehicle,54,3,325,154.17146093718532,,,
Vehicle,54,4,307,130.42431731145277,,,
Vehicle,54,5,308,150.4600094203516,,,
Vehicle,54,6,355,116.86833577050885,,,
Depot,54,,1480,,642.828516087551,1.3392260751823977,107.1380860145918
Vehicle,55,1,260,44.80754547069261,,,
Vehicle,55,2,352,130.07321701132523,,,
Vehicle,55,3,401,101.82831854957826,,,
Vehicle,55,4,366,98.25474824721505,,,
Vehicle,55,5,314,87.78010036671292,,,
Vehicle,55,6,286,80.45047987431015,,,
Depot,55,,1419,,411.6930305616917,0.857693813670191,68.61550509361528
Vehicle,56,1,258,113.55942643423771,,,
Vehicle,56,2,284,116.174334749837,,,
Vehicle,56,3,256,94.37959140652154,,,
Vehicle,56,4,254,92.42668726677013,,,
Vehicle,56,5,319,113.75275244343015,,,
Vehicle,56,6,232,100.10877044518993,,,
Depot,56,,1197,,376.79887393885207,0.7849976540392751,62.799812323142014
Vehicle,57,1,234,37.45669912384089,,,
Vehicle,57,2,88,24.35812638685955,,,
Vehicle,57,3,25,1.674613168762307,,,
Vehicle,57,4,21,1.58286459702179,,,
Vehicle,57,5,23,1.645897357166211,,,
Vehicle,57,6,21,1.58286459702179,,,
Depot,57,,298,,58.39385695972481,0.12165386866609336,9.732309493287469
Vehicle,58,1,1,0.02667691411687019,,,
Vehicle,58,2,1,0.02667691411687019,,,
Vehicle,58,3,1,0.02667691411687019,,,
Vehicle,58,4,1,0.02667691411687019,,,
Vehicle,58,5,1,0.02667691411687019,,,
Vehicle,58,6,1,0.02667691411687019,,,
Depot,58,,1,,0.02667691411687019,5.557690441014623e-05,0.004446152352811698
Vehicle,59,1,276,113.62570734543131,,,
Vehicle,59,2,280,63.29219137684906,,,
Vehicle,59,3,339,88.3033166936754,,,
Vehicle,59,4,350,80.75569008284064,,,
Vehicle,59,5,354,85.83356439077104,,,
Vehicle,59,6,363,85.06460696064349,,,
Depot,59,,1383,,366.0739306075446,0.7626540220990512,61.0123217679241
Vehicle,60,1,208,68.10634794509949,,,
Vehicle,60,2,217,104.57997988421471,,,
Vehicle,60,3,284,107.25122334536313,,,
Vehicle,60,4,280,94.46186235165544,,,
